Model,Input Configuration,Trials,Sensitivity,Specificity,Precision,Accuracy,F1 Score,TP,FP,TN,FN
GPT-4o-mini,title_only,1,0.625,0.971,0.333,0.964,0.435,5,10,339,3
GPT-4o-mini,title_description,1,0.250,0.983,0.250,0.966,0.250,2,6,343,6
GPT-4o-mini,title_description_clinical,1,0.875,0.951,0.292,0.950,0.438,7,17,332,1
GPT-4.1-mini,title_only,1,0,1,0,0.978,0,0,0,349,8
GPT-4.1-mini,title_description,1,0.250,0.991,0.400,0.975,0.308,2,3,346,6
GPT-4.1-mini,title_description_clinical,1,0.875,0.971,0.412,0.969,0.560,7,10,339,1
GPT-5-mini,title_only,1,0,1,0,0.978,0,0,0,349,8
GPT-5-mini,title_description,1,0.250,0.994,0.500,0.978,0.333,2,2,347,6
GPT-5-mini,title_description_clinical,10,"0.875
(0.875-0.875)","0.991
(0.989-0.994)","0.700
(0.636-0.778)","0.989
(0.986-0.992)","0.778
(0.737-0.824)","7
(7-7)","3
(2-4)","346
(345-347)","1
(1-1)"
o4-mini,title_only,1,0,1,0,0.978,0,0,0,349,8
o4-mini,title_description,1,0.125,0.997,0.500,0.978,0.200,1,1,348,7
o4-mini,title_description_clinical,10,"0.875
(0.875-0.875)","0.990
(0.986-0.991)","0.668
(0.583-0.700)","0.988
(0.983-0.989)","0.758
(0.700-0.778)","7
(7-7)","3.5
(3-5)","345.5
(344-346)","1
(1-1)"
