custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating it involves microarray expression profiling. | justification: The dataset specifically mentions the use of Affymetrix U133A chips for gene expression assessment, which confirms it is a microarray study.","No | evidence: The dataset focuses on coronary artery disease (CAD) and does not mention ALS-FTD. | justification: The title and description of the dataset indicate that it is related to CAD, not ALS-FTD.","No | evidence: The samples are from circulating leukocytes, not CNS tissue. | justification: The dataset involves gene expression profiling in peripheral blood, which does not meet the requirement for CNS tissue.","Yes | evidence: The dataset involves patients with coronary artery disease and controls, not in vitro cell lines or disease models. | justification: While it does involve human subjects, it does not involve patient-derived in vitro cell lines or models.","Yes | evidence: The study design is described as a parallel group design with patients and controls. | justification: The dataset includes patients with CAD and matched controls, indicating a case/control study design.","Yes | evidence: The dataset does not involve brain regions affected by ALS-FTD, as it focuses on peripheral blood. | justification: The study is centered on coronary artery disease, which is unrelated to ALS-FTD neurodegeneration.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: The dataset employs microarray technology, which aligns with the inclusion criteria.","justification: The dataset does not meet the inclusion criteria for ALS-FTD as it pertains to coronary artery disease and involves peripheral blood samples, not CNS tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,Yes | evidence: The study type is transcription profiling by array using Affymetrix arrays. | justification: The dataset involves human microarray expression profiling.,"No | evidence: The dataset pertains to cryptorchidism, not ALS-FTD. | justification: The dataset does not relate to amyotrophic lateral sclerosis-frontotemporal dementia.","No | evidence: The samples are from testicular biopsies, not CNS tissue. | justification: The dataset does not involve samples from human brain/CNS tissue.","Yes | evidence: The dataset involves testicular biopsies from cryptorchid boys, which are considered non-clinical samples. | justification: The dataset involves patient-derived in vitro cell lines or disease models.",Unclear | evidence: The description does not specify a clear case/control design. | justification: The study design is not explicitly stated as case/control.,"Yes | evidence: The dataset involves testicular tissue, which is irrelevant to ALS-FTD neurodegeneration. | justification: The brain regions sampled are not significantly affected by ALS-FTD.","No | evidence: The technology used is an array assay, compatible with microarray expression profiling. | justification: The dataset uses compatible technology for microarray expression profiling.","justification: The dataset does not meet the inclusion criteria for ALS-FTD, as it pertains to cryptorchidism and involves testicular tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The dataset involves transcription profiling by array, which is a form of human microarray expression profiling. | justification: The study type explicitly states it is transcription profiling by array.","No | evidence: The dataset involves SH-SY5Y neuroblastoma cells transfected with SOD1 variants, not human samples related to ALS-FTD. | justification: The study does not involve human subjects with ALS-FTD but rather a cell line model.","No | evidence: The samples are derived from SH-SY5Y neuroblastoma cells, not from human CNS tissue. | justification: The dataset does not include actual human brain or CNS tissue samples.",Yes | evidence: The dataset involves patient-derived in vitro cell lines (SH-SY5Y) rather than human tissue samples. | justification: The use of a neuroblastoma cell line indicates it is a non-clinical model.,"Unclear | evidence: The experimental design details are not provided, making it unclear if it follows a case/control design. | justification: Without specific information on the study design, it cannot be determined if it is case/control.","Unclear | evidence: The dataset does not involve human brain regions, as it uses a cell line. | justification: Since the study does not involve actual brain regions, this criterion is not applicable.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: The dataset employs a microarray technology, which aligns with the inclusion criteria.",justification: The dataset should not be included as it does not involve human samples related to ALS-FTD and uses a non-clinical cell line model.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating it involves microarray expression profiling. | justification: The dataset utilizes a microarray technology to analyze gene expression.","No | evidence: The dataset pertains to periodontitis, not ALS-FTD. | justification: The primary focus of the study is on bacterial species in gingival crevicular fluid related to periodontal disease, which is unrelated to ALS-FTD.","No | evidence: The samples analyzed are from gingival crevicular fluid, not CNS tissue. | justification: The dataset does not involve any brain or CNS tissue samples relevant to ALS-FTD.","No | evidence: The dataset involves human samples from patients with periodontitis, not in vitro cell lines or disease models. | justification: The study is based on clinical samples from patients, not derived from cell lines.","Unclear | evidence: The experimental design details are not provided, making it difficult to ascertain if it follows a case/control design. | justification: Without specific information on the study design, it cannot be confirmed whether it is case/control.","Yes | evidence: The dataset focuses on gingival crevicular fluid, which is not related to brain regions affected by ALS-FTD. | justification: The brain regions sampled are irrelevant as the study does not involve any brain tissue.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: The dataset employs microarray technology, which aligns with the inclusion criteria.",justification: The dataset does not meet the inclusion criteria as it does not pertain to ALS-FTD and involves samples from gingival fluid rather than CNS tissue.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating the use of microarray technology. | justification: The dataset involves gene expression profiling using Affymetrix microarrays, which qualifies as human microarray expression profiling.","No | evidence: The dataset focuses on gene expression profiles of myofibroblasts and human colon cancer cells, with no mention of ALS-FTD. | justification: The dataset does not pertain to amyotrophic lateral sclerosis-frontotemporal dementia (ALS-FTD) as it is centered around cancer cells and mouse fibroblasts.","No | evidence: The samples are derived from mouse ileum or colon and human colon cancer cells, not from human CNS tissue. | justification: The dataset does not involve human CNS tissue relevant to ALS-FTD, as it focuses on gastrointestinal tissues.","Yes | evidence: The dataset involves patient-derived in vitro cell lines (T84, Caco2) and mouse-derived myofibroblasts. | justification: The presence of in vitro cell lines and mouse models indicates that the dataset is non-clinical.",No | evidence: The dataset does not specify a case/control study design; it focuses on cell lines and their interactions. | justification: The study design does not fit the case/control criteria as it involves experimental cell lines rather than clinical patient samples.,"Yes | evidence: The dataset involves mouse ileum and colon, which are not brain regions affected by ALS-FTD. | justification: The brain regions sampled are irrelevant to ALS-FTD neurodegeneration, as they are gastrointestinal tissues.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: The dataset employs microarray technology, which is not incompatible with the inclusion criteria.",justification: The dataset does not meet the inclusion criteria for ALS-FTD research as it focuses on non-CNS tissues and cancer cell lines.,No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating it involves microarray expression profiling. | justification: The dataset specifically uses microarray technology to profile RNA expression.","Yes | evidence: The dataset includes samples from subjects with sporadic amyotrophic lateral sclerosis (SALS). | justification: The study focuses on ALS and compares it with other conditions, making it relevant to ALS-FTD.","No | evidence: The samples are derived from peripheral blood CD14+CD16- monocytes, not CNS tissue. | justification: The inclusion criteria specify that samples must be from CNS regions relevant to ALS-FTD, which is not met.","No | evidence: The dataset involves human subjects and does not use patient-derived in vitro cell lines or disease models. | justification: The samples are directly from human subjects, not from cell lines or models.","Unclear | evidence: The dataset includes ALS, MS, and healthy control subjects, but the specific design is not detailed. | justification: Without explicit information on the study design, it is unclear if it follows a strict case/control format.","Yes | evidence: The study focuses on peripheral blood monocytes, not brain regions affected by ALS-FTD. | justification: The dataset does not sample brain regions, which are critical for ALS-FTD studies.","No | evidence: The technology used is an array assay, compatible with microarray expression profiling. | justification: The dataset employs microarray technology, which aligns with the inclusion criteria.","justification: The dataset does not meet the inclusion criteria as it does not involve human CNS tissue, which is essential for studying ALS-FTD.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating it involves microarray expression profiling. | justification: The dataset is focused on human microRNA expression profiling using microarray technology.","No | evidence: The dataset pertains to human medullary thyroid carcinoma, not ALS-FTD. | justification: The target disease of the dataset is unrelated to amyotrophic lateral sclerosis-frontotemporal dementia.","No | evidence: The samples are obtained from thyroid tissue, not from CNS regions. | justification: The dataset does not involve human brain or CNS tissue relevant to ALS-FTD.","No | evidence: The dataset involves human tissue samples, not in vitro cell lines or disease models. | justification: The samples are matched tumor and adjacent normal tissues from patients.","Unclear | evidence: The dataset does not specify a case/control design in the provided information. | justification: The experimental design details are not found, making it unclear if it follows a case/control structure.","Yes | evidence: The dataset involves thyroid tissue, which is not significantly affected by ALS-FTD neurodegeneration. | justification: Thyroid tissue is irrelevant to the neurodegenerative processes associated with ALS-FTD.","No | evidence: The technology used is an array assay, compatible with microarray expression profiling. | justification: The dataset employs microarray technology, which is appropriate for the study.","justification: The dataset does not meet the inclusion criteria as it does not pertain to ALS-FTD and involves thyroid tissue, which is irrelevant to the target disease.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating it involves microarray expression profiling. | justification: The dataset explicitly states it is a gene expression analysis using an array technology.","No | evidence: The dataset focuses on ALS skeletal muscle, not ALS-FTD specifically. | justification: The title and description indicate that the study is centered on ALS-related muscle atrophy, without mention of frontotemporal dementia.","No | evidence: The samples are from skeletal muscle (deltoid, quadriceps), not CNS tissue. | justification: The inclusion criteria specify the need for CNS tissue samples, which this dataset does not provide.","No | evidence: The dataset does not involve patient-derived in vitro cell lines or disease models; it uses muscle biopsies from patients. | justification: The samples are directly from human muscle biopsies, not cell lines or models.","Unclear | evidence: The experimental design details are not provided, making it difficult to ascertain if it follows a case/control design. | justification: Without specific information on the study design, we cannot confirm if it meets the case/control criteria.","Yes | evidence: The dataset involves skeletal muscle samples, which are not brain regions affected by ALS-FTD. | justification: The inclusion criteria require CNS regions, and skeletal muscle does not fit this requirement.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: The dataset employs a microarray technology, which aligns with the inclusion criteria.","justification: The dataset does not meet the inclusion criteria as it does not pertain to ALS-FTD, involves non-CNS tissue, and lacks clarity on case/control design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The study type is transcription profiling by array, indicating it involves microarray expression profiling. | justification: The dataset utilizes gene microarrays to characterize transcriptional programs.",No | evidence: The dataset focuses on immune responses to vaccines and does not mention ALS-FTD. | justification: There is no indication that the dataset pertains to amyotrophic lateral sclerosis-frontotemporal dementia.,"No | evidence: The samples are derived from monocyte-derived dendritic cells and not from CNS tissue. | justification: The dataset involves immune cells stimulated in vitro, not human CNS tissue.","Yes | evidence: The dataset involves in vitro stimulation of immune cells, which are not patient-derived samples. | justification: The study uses monocyte-derived dendritic cells in vitro, which does not meet the criteria for clinical samples.",No | evidence: The dataset does not specify a case/control design; it focuses on stimulated immune cells. | justification: The study design is not case/control as it examines responses to vaccines in vitro.,"Unclear | evidence: The dataset does not involve brain regions, as it focuses on immune cells. | justification: There is no information on brain regions since the study is not related to neurodegeneration.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: The dataset employs microarray technology, which aligns with the inclusion criteria.","justification: The dataset does not meet the inclusion criteria for ALS-FTD, as it does not pertain to the target disease or involve relevant CNS tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-4o-mini-2024-07-18,"Yes | evidence: The dataset is described as 'transcription profiling by array', indicating it involves microarray expression profiling. | justification: The study type explicitly states it is a transcription profiling by array, which meets the inclusion criteria.",No | evidence: The dataset does not mention ALS-FTD or any related disease in the description. | justification: The absence of any reference to ALS-FTD means it does not pertain to the target disease.,"No | evidence: The samples are derived from human bone marrow, not CNS tissue. | justification: Bone marrow is not a CNS region relevant to ALS-FTD, thus failing the inclusion criteria.","Yes | evidence: The dataset involves purified B cells from human bone marrow, which are considered non-clinical samples. | justification: Since the samples are derived from a developmental stage of B cells and not from patients with ALS-FTD, they fall under non-clinical.","No | evidence: The experimental design is not specified as case/control; it focuses on developmental stages of B cells. | justification: Without a clear case/control design, it does not meet the inclusion criteria.","Yes | evidence: The dataset involves bone marrow samples, which are not affected by ALS-FTD neurodegeneration. | justification: Bone marrow is not a brain region and is irrelevant to ALS-FTD, thus it should be excluded.","No | evidence: The technology used is an array assay, which is compatible with microarray expression profiling. | justification: Since the technology is compatible, it does not violate the inclusion criteria.","justification: The dataset does not meet the necessary criteria for inclusion as it does not pertain to ALS-FTD, involves non-CNS tissue, and lacks a case/control design.",No,No,False,,,,,,,,,
