custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: Gene expression assessed using Affymetrix U133A chips; Organism: Homo sapiens. | justification: Human samples profiled by Affymetrix microarray (U133A), measuring RNA expression.","No | evidence: Title and description: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease'; references to CAD, CADi, coronary angiography throughout. | justification: The study concerns coronary artery disease (CAD); there is no mention of ALS or frontotemporal dementia.","No | evidence: Description: 'Gene expression profile in circulating leukocytes'; 'RNA was extracted from 110 patients...'; samples are from peripheral blood. | justification: Samples are peripheral blood leukocytes, not human brain or CNS tissue.","No | evidence: Description indicates RNA extracted from patient blood samples undergoing coronary angiography; no mention of cell lines or experimental disease models. | justification: Material is primary patient-derived blood cells, not in vitro cell lines or model systems.",Yes | evidence: RNA extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); study described as parallel group design. | justification: Clear case (CAD) versus control (no CAD) group comparison.,"No | evidence: Samples are peripheral blood leukocytes, not brain regions. | justification: The question pertains to brain-region sampling; this dataset does not sample brain tissue, so it does not involve irrelevant brain regions per se.",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Affymetrix U133A chips used. | justification: Microarray technology is compatible with inclusion (not RNA-seq or proteomics).,"justification: Although this is human microarray data with a case/control design, the study investigates coronary artery disease using peripheral blood samples rather than ALS-FTD or relevant CNS tissues. It therefore fails the disease-target and CNS-tissue inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-16191,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; cRNA synthesis and human U133 plus 2.0 GeneChip hybridization; Organism: Homo sapiens. | justification: The study used Affymetrix Human U133 Plus 2.0 GeneChips on RNA isolated from human testicular biopsies, indicating human microarray expression profiling.","No | evidence: Title: 'EGR4 is a master gene responsible for fertility in cryptorchidism'; Description: RNA was isolated from testicular biopsies of cryptorchid boys. | justification: The disease under study is cryptorchidism (testicular maldescent/fertility), with no mention of ALS or frontotemporal dementia.","No | evidence: Samples: Organism part: total testicular; Description: whole testicular tissue from cryptorchid boys and controls. | justification: Samples are from testis (peripheral reproductive tissue), not brain or other CNS regions.","No | evidence: Description: whole testicular tissue was gained from cryptorchid boys ... Each biopsy sample was collected for RNA isolation and GeneChip hybridization. | justification: The data derive from primary patient tissue biopsies, not from patient-derived in vitro cell lines or disease models.","Yes | evidence: Description: samples from cryptorchid boys aged 10 months to 4.5 years as well as from controls of identical age. | justification: The study compares affected (cryptorchid) patients to age-matched controls, consistent with a case/control design.","Yes | evidence: Organism part: total testicular; all sample descriptions and methods refer to testicular tissue. | justification: The tissue is testis, which is not a brain/CNS region and is irrelevant to ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; cRNA synthesis and human U133 plus 2.0 GeneChip hybridization. | justification: The study used microarray technology (Affymetrix GeneChip), which is compatible with the microarray inclusion criterion.","justification: Exclude: Although this is a human microarray case/control study, it does not pertain to ALS-FTD and does not involve CNS tissue. It therefore fails the disease (criterion 2) and tissue (criterion 3) inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21298,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment used microarray-based transcription profiling (RNA) on human-derived material.,"Yes | evidence: Title: 'Profiling wt SOD versus ALS SOD1(G93A) mutant'. | justification: The study compares wild-type SOD1 to the SOD1 G93A mutant, a well-known ALS-associated mutation, so it pertains to ALS (but not necessarily FTD).",No | evidence: Sample attribute: Cell line: neuroblastoma SH-SY5Y; Organism part: not provided. | justification: Samples are an established neuroblastoma cell line rather than human CNS tissue.,"Yes | evidence: Samples: SH-SY5Y cells stably transfected with SOD1WT or SOD1(G93A) (cell line). | justification: This is an in vitro disease model using transfected cell lines, not patient-derived tissue.","No | evidence: Design: five wt SOD versus five mutant SOD in cell lines; no clinical case/control metadata. | justification: The comparison is between engineered cell-line groups, not clinical patient case vs control cohorts.",No | evidence: No organism part/brain region specified; samples are a cell line. | justification: Not applicable — no brain regions were sampled.,"No | evidence: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The dataset uses microarray transcription profiling, which is compatible with inclusion.","justification: Although the study uses human-derived material and targets an ALS-associated SOD1 mutation and employs microarray profiling, it is an in vitro cell-line disease model (SH-SY5Y transfected cells) and not clinical human CNS tissue nor a patient case/control study. Per exclusion criteria (in vitro models and non–case/control), this dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-21929,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"No | evidence: Title/Description: microarray for over 300 bacterial species; 16S rRNA genes were PCR amplified and DNA-DNA hybridization was performed using a microarray. | justification: The array targets bacterial 16S rRNA / species detection (microbial DNA-DNA hybridization), not human gene expression profiling of human mRNA.","No | evidence: Source characteristics / Description: Disease: periodontitis; 'The microbial profiles ... were analyzed from 17 subjects with periodontal disease.' | justification: Study concerns periodontitis (oral disease), not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Description / Samples: gingival crevicular fluid (GCF) and subgingival plaque (PP) samples; Organism: Homo sapiens but Organism part not CNS. | justification: Samples are oral (gingival crevicular fluid / subgingival plaque), not human brain or CNS tissue.","No | evidence: Description: samples taken from subjects with periodontal disease (GCF and PP); no mention of cell lines or disease models. | justification: This is clinical patient sample work (oral fluid/plaque), not patient-derived in vitro cell lines or experimental disease models.",No | evidence: Experimental Designs: Not found. Description: comparison between GCF and PP samples from periodontitis patients; no control (healthy) cohort indicated. | justification: No case versus healthy control study design is described; comparisons are between sample types within diseased subjects.,"Yes | evidence: Samples: gingival crevicular fluid and subgingival plaque (oral tissues), not brain regions. | justification: The dataset does not sample any brain region; sampled tissues are irrelevant to ALS-FTD-affected CNS regions.","Yes | evidence: Technology: Array assay; Description: DNA-DNA hybridization microarray targeting bacterial species (16S rRNA), not human transcriptome microarray. | justification: Although an 'array' was used, it is a microbial species detection / 16S hybridization assay rather than human microarray expression profiling of mRNA, so it is incompatible with the target human transcriptomic microarray datasets.","justification: Exclude: does not meet multiple inclusion criteria — not human gene expression microarray (targets bacterial species), not ALS-FTD (periodontitis), does not involve human CNS tissue, and lacks a case/control design. Technology and sample type make it irrelevant to ALS-FTD human microarray transcriptomics.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-27564,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Description: 'We used Affymetrix microarrays to detail the global gene expression profiles ... in mouse fibroblasts and human colon cancer cells (Caco2, T84)'. | justification: Affymetrix microarray profiling was performed and includes human-derived samples (human colon cancer cell lines) analyzed by array.","No | evidence: Title/Description: colon/ileum myofibroblasts and human colon cancer cells from xenografts; no mention of ALS, FTD or neurodegenerative disease. | justification: Dataset concerns intestinal tissue and colon cancer xenografts, not ALS-FTD.","No | evidence: Description and sample attributes list Organism part: not found; Samples/Cell type: subepithelial myofibroblasts (ileum/colon), cancer cells (Caco2, T84). | justification: Samples are intestinal (ileum/colon) fibroblasts and colon cancer cells, not human brain or CNS tissue.","Yes | evidence: Samples list CELL LINE: T84, Caco2; Description: cultured cells expanded before array analysis and human cancer cells isolated from mouse xenografts (NOD/SCID mice). | justification: Study uses established human cell lines and a mouse xenograft model (non-clinical, in vitro/in vivo disease model), which meets exclusion criterion for patient-derived in vitro models/disease models.",No | evidence: Experimental Designs: Not found; Description describes isolation and profiling of cell lines and fibroblasts from xenografts rather than case/control groups. | justification: No case/control study design is indicated; the design is experimental profiling of cell lines/xenografts.,"Yes | evidence: Samples/Description: ileum, colon, and colon cancer cells; no brain regions or CNS samples reported. | justification: Tissues sampled are gastrointestinal and not brain regions affected by ALS-FTD, so the dataset does not sample relevant CNS regions.",No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Description: Affymetrix microarrays. | justification: The study uses microarray technology (compatible); it does not use RNA-seq or proteomics.,"justification: Exclude. Although microarray expression data include human samples, the study is not about ALS-FTD, does not sample human CNS tissue, uses cell lines and a mouse xenograft model, and lacks a case/control design. These factors violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-39643,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: NanoString nCounter miRNA expression assays used to profile RNA from human CD14+CD16- monocytes. | justification: Dataset contains human expression profiling data generated with a hybridization-based nCounter (reported as array assay) targeting miRNAs from human samples.,"Yes | evidence: Samples annotated with Disease: Sporadic amyotrophic lateral sclerosis (SALS), multiple sclerosis, healthy control; Description explicitly mentions humans with ALS. | justification: The dataset includes samples from sporadic ALS patients, so it pertains to ALS (part of the ALS-FTD disease spectrum relevance).","No | evidence: Cell type: CD14+CD16- monocytes; Description: RNA isolated from FACS sorted blood-derived monocytes; Organism part not listed as brain/CNS. | justification: Samples are peripheral blood monocytes, not human brain or CNS tissue.","No | evidence: Samples are FACS-sorted CD14+CD16- blood-derived monocytes from ALS, MS and healthy subjects; no in vitro cell lines reported. | justification: Data derive from primary patient peripheral blood cells, not from patient-derived cell lines or animal disease-model samples in the submitted human dataset.","Yes | evidence: Experimental Factors include DISEASE STATE with values: multiple sclerosis, Sporadic amyotrophic lateral sclerosis (SALS), healthy control; sample counts: ALS (n=8), MS (n=8), HC (n=8). | justification: The study includes disease groups and healthy controls, consistent with a case/control design.","Yes | evidence: Organism part not brain/CNS; samples are peripheral blood CD14+CD16- monocytes rather than CNS regions. | justification: No CNS regions sampled — the tissue is peripheral blood, which is not a brain region affected by ALS-FTD neurodegeneration, making the sampled tissue irrelevant to the CNS-focused inclusion criterion.","No | evidence: Technology listed as Array assay; Description specifies NanoString nCounter miRNA expression assay (hybridization-based RNA assay), not RNA-seq or proteomics. | justification: The platform is a hybridization-based targeted miRNA expression assay (NanoString), which is not RNA-seq or proteomics and therefore not one of the explicitly excluded technologies.","justification: Although the dataset is human expression profiling (NanoString miRNA) and includes ALS cases with a case/control design, it should be excluded because samples are peripheral blood monocytes rather than human CNS tissue from brain regions relevant to ALS-FTD neurodegeneration. The primary aim/biological material is peripheral immune cells, not affected CNS regions.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-40807,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Title and description: miRNA microarray Kit Agilent used on human samples (Homo sapiens). | justification: The experiment used human tissue and Agilent microRNA microarrays for expression profiling, so it meets the 'human microarray expression profiling' requirement.","No | evidence: Title: 'MiRNA expression profiling in human medullary thyroid carcinoma'; Organism part: thyroid; Description: matched tumor and adjacent normal thyroid tissues from patients with medullary carcinoma. | justification: The study focuses on medullary thyroid carcinoma (a cancer), not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Organism part: thyroid; samples: matched tumor and adjacent normal frozen tissues obtained from thyroid of patients. | justification: All samples are from thyroid tissue, not brain/CNS regions.","No | evidence: Description: matched tumor and adjacent normal frozen tissues obtained from patients; no cell lines or in vitro models reported. | justification: The dataset uses primary patient tissue (tumor and adjacent normal), not patient-derived cell lines or experimental disease models.","Yes | evidence: Description: Matched tumor and adjacent normal tissue were obtained from 24 patients; normal (suffix S) and lesional (suffix L) tissues hybridized on microarray. | justification: The design compares tumor (case) versus adjacent normal (control) tissue, a paired case/control setup.",No | evidence: Organism part: thyroid; no brain regions sampled. | justification: The study does not sample any brain regions (relevant or irrelevant to ALS-FTD).,No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; use of Agilent human microRNA Microarray Kit described. | justification: The platform is microarray-based (compatible); the study does not use RNA-seq or proteomics.,"justification: Although this is a human microarray expression profiling study (miRNA) with a case/control comparison, it is about medullary thyroid carcinoma and uses thyroid tissue rather than CNS regions implicated in ALS-FTD. Therefore it does not meet the disease- or tissue-related inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-41414,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay | justification: Human samples were profiled using microarray-based transcription profiling (array; RNA assay).,"Yes | evidence: Title: ""Gene expression analysis of ALS skeletal muscle""; Description references ALS-related atrophy | justification: The study explicitly concerns amyotrophic lateral sclerosis (ALS), which falls within the ALS-FTD disease spectrum.","No | evidence: Organism part: deltoid, quadriceps (skeletal muscle); Sample source described as muscle biopsies | justification: All samples are skeletal muscle, not brain or other CNS tissue.","No | evidence: Description: muscle biopsies; Samples: organism part specified as deltoid, quadriceps; no cell lines or model systems listed | justification: Samples are patient tissue biopsies (in vivo), not patient-derived in vitro cell lines or disease models.","Unclear | evidence: Experimental Factors list DISEASE STATUS, but Experimental Designs: Not found; source-level Disease state/staging: Not found | justification: DISEASE STATUS as a factor suggests case/control groups, but no explicit design metadata or annotated sample disease/control labels are provided to confirm a case/control study design.","Yes | evidence: Organism part: deltoid, quadriceps (skeletal muscle) | justification: The dataset samples skeletal muscle, which is not CNS tissue; inclusion criteria require CNS regions relevant to ALS-FTD neurodegeneration (e.g., motor cortex, frontal/temporal lobes, spinal cord), so the tissue here is outside the required CNS regions.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: The technology is microarray-based transcription profiling, which is compatible with the inclusion criteria (not RNA-seq or proteomics).","justification: Although this is a human microarray study of ALS (meets disease and technology criteria), it uses skeletal muscle biopsies rather than human CNS tissue relevant to ALS-FTD, and the case/control design is not clearly documented. Because it does not sample CNS regions required by the inclusion criteria, it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-44721,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study uses human samples and gene expression microarrays (transcription profiling by array / array assay of RNA).,"No | evidence: Title and Description discuss responses to human vaccines and innate/adaptive immune modules; Sample metadata: Disease: Not found. | justification: The study focuses on vaccine-induced transcriptional responses in monocytes/DCs and does not mention ALS, FTD, or related neurodegenerative disease.","No | evidence: Description: human monocyte-derived DCs (moDCs) and monocytes stimulated in vitro; Experimental Factors: cell population, donor id; Organism part: Not found. | justification: Samples are peripheral immune cells (monocytes / monocyte-derived dendritic cells) cultured in vitro, not human brain or CNS tissue.","Yes | evidence: Description: 'monocyte-derived DCs (moDCs) in vitro' and lists stimulated cell populations (IL4 DC, monocytes) under Samples. | justification: The dataset uses patient-derived immune cells differentiated and stimulated in vitro (cell culture model), which meets the exclusion criterion for in vitro disease models.","No | evidence: Experimental Designs: Not found; Experimental Factors list treatments (various vaccines, LPS) and media controls but no disease vs healthy patient case/control groups. | justification: Study compares stimulated vs control conditions in vitro rather than clinical case versus control groups.","Yes | evidence: Organism part: Not found; Description and sample annotations indicate immune cell types (monocytes, moDCs) rather than any brain region. | justification: No brain/CNS regions are sampled; therefore the dataset does not include CNS regions relevant to ALS-FTD.","No | evidence: Study type: transcription profiling by array; Technology: Array assay. | justification: The technology is microarray-based transcription profiling, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Exclude. Although this is human microarray expression data, the study is an in vitro immunology/vaccine experiment using monocytes and monocyte-derived dendritic cells, not human CNS tissue, not related to ALS-FTD, and not a clinical case/control design. It therefore fails multiple inclusion criteria (target disease, CNS tissue, clinical case/control) and meets exclusion criterion for in vitro models.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-4590,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment is transcription profiling using microarray technology on human samples (RNA assay), meeting the microarray requirement.",No | evidence: Title and description describe B cell development; Disease: Not found in sample annotations; no mention of ALS or FTD. | justification: The study focuses on B cell developmental stages in bone marrow and does not pertain to ALS or FTD.,"No | evidence: Description: Cells purified by FACS from human bone marrow; Sample source: B cells (CD19+); Organism part not listed as brain/CNS. | justification: Samples are bone marrow-derived B cells, not brain or other CNS tissue.",No | evidence: Description: Primary cells were purified from human bone marrow samples; no indication of immortalized cell lines or disease models. | justification: These are primary ex vivo cells sorted from donor bone marrow rather than patient-derived in vitro cell lines or experimental disease models.,"No | evidence: Experimental design: transcription profiling by array across four developmental stages (PB1, PB2, LAR, SMA); Experimental Factors: Not found; no case/control annotation. | justification: The study compares developmental stages of B cells rather than a case versus control disease design.","Yes | evidence: Samples are bone marrow B cells (CD19+); no brain regions sampled. | justification: No CNS regions are sampled; tissue is non-neural (bone marrow), so it does not sample brain regions relevant to ALS-FTD.",No | evidence: Technology listed as Array assay and transcription profiling by array; Assay by Molecule: RNA assay. | justification: The study uses microarray-based transcription profiling (compatible technology).,"justification: Although the dataset uses human microarray transcription profiling, it does not study ALS-FTD, does not involve CNS tissue, and is not a case/control disease study. Therefore it does not meet the disease- and tissue-specific inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-47554,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Description: 'Total RNAs were isolated ... and subjected to mRNA microarrays'; Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay. | justification: The study used mRNA microarrays / array-based transcription profiling on RNA samples (array assay), indicating human microarray expression profiling.","No | evidence: Title and Description refer to gastric carcinoma, metastasis to ovary, and an orthotopic gastric cancer mouse model; no mention of ALS or FTD or neurodegenerative disease. | justification: Dataset concerns gastric cancer metastasis, not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Experimental Factors > Source Characteristics: Organism part values: xenografted tumor metastasized to ovaries, xenografted tumor formed in the stomach, etc.; Description describes stomach and ovary tumors. | justification: Samples are tumor tissues (stomach/ovary xenografts), not human brain or CNS tissue.","Yes | evidence: Description: human SNU-16 cancer cells were orthotopically injected into BALB/c nude mice to create xenografted tumors; dissociated cells were cultured and re-injected. | justification: The dataset derives from an in vivo xenograft disease model (and cultured tumor-derived cells), which are non-clinical experimental models and meet the exclusion criterion for disease models/patient-derived models.","No | evidence: Sample count: 4; Experimental Designs: Not found; sample types are different tumor-derived conditions (16S, 16SS, 16O, 16OO2) with no healthy/control group described. | justification: No case versus control (disease vs healthy) study design or clear control samples are provided.","Yes | evidence: Organism part and Description indicate stomach and ovary xenografted tumors; no brain regions sampled. | justification: The sampled organs (stomach, ovary) are non-CNS and are not affected by ALS-FTD neurodegeneration, so tissues are irrelevant to ALS-FTD.","No | evidence: Study type: transcription profiling by array; Assays and Data: Technology: Array assay; Description: mRNA microarrays. | justification: The technology used is microarray (array-based RNA assay), which is compatible with the inclusion criterion.","justification: Exclude. Although the dataset uses human mRNA microarrays, it does not pertain to ALS-FTD, does not sample human CNS tissue, derives from an in vivo xenograft disease model (and cultured tumor cells), and lacks a case/control design. These factors violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
