model,version,trial,split,target_disease,input_tokens,output_tokens,input_cost,output_cost,total_cost
GPT-4.1-mini,v1,,,AD,19302,5688,0.0039,0.0046,0.0084
GPT-4.1-mini,v1,,,ALS-FTD,46554,13675,0.0093,0.0109,0.0203
GPT-4.1-mini,v1,,,LBD,22878,6638,0.0046,0.0053,0.0099
GPT-4.1-mini,v1,,,all-diseases,88734,26001,0.0177,0.0208,0.0385
GPT-4o-mini,v1,,,AD,19302,5895,0.0014,0.0018,0.0032
GPT-4o-mini,v1,,,ALS-FTD,46554,13598,0.0035,0.0041,0.0076
GPT-4o-mini,v1,,,LBD,22878,6886,0.0017,0.0021,0.0038
GPT-4o-mini,v1,,,all-diseases,88734,26379,0.0067,0.0079,0.0146
GPT-5-mini,v1,seed43,,AD,19236,19079,0.0024,0.0191,0.0215
GPT-5-mini,v1,seed43,,ALS-FTD,46275,44480,0.0058,0.0445,0.0503
GPT-5-mini,v1,seed43,,LBD,22780,21577,0.0028,0.0216,0.0244
GPT-5-mini,v1,seed43,,all-diseases,88291,85136,0.011,0.0851,0.0962
GPT-5-mini,v1,seed44,,AD,19236,18349,0.0024,0.0183,0.0208
GPT-5-mini,v1,seed44,,ALS-FTD,46275,45388,0.0058,0.0454,0.0512
GPT-5-mini,v1,seed44,,LBD,22780,21043,0.0028,0.021,0.0239
GPT-5-mini,v1,seed44,,all-diseases,88291,84780,0.011,0.0848,0.0958
GPT-5-mini,v1,seed45,,AD,19236,18350,0.0024,0.0184,0.0208
GPT-5-mini,v1,seed45,,ALS-FTD,46275,45333,0.0058,0.0453,0.0511
GPT-5-mini,v1,seed45,,LBD,22780,21662,0.0028,0.0217,0.0245
GPT-5-mini,v1,seed45,,all-diseases,88291,85345,0.011,0.0853,0.0964
GPT-5-mini,v1,seed46,,AD,19236,19721,0.0024,0.0197,0.0221
GPT-5-mini,v1,seed46,,ALS-FTD,46275,46199,0.0058,0.0462,0.052
GPT-5-mini,v1,seed46,,LBD,22780,21428,0.0028,0.0214,0.0243
GPT-5-mini,v1,seed46,,all-diseases,88291,87348,0.011,0.0873,0.0984
GPT-5-mini,v1,seed47,,AD,19236,18483,0.0024,0.0185,0.0209
GPT-5-mini,v1,seed47,,ALS-FTD,46275,46260,0.0058,0.0463,0.052
GPT-5-mini,v1,seed47,,LBD,22780,21959,0.0028,0.022,0.0248
GPT-5-mini,v1,seed47,,all-diseases,88291,86702,0.011,0.0867,0.0977
GPT-5-mini,v1,seed48,,AD,19236,18850,0.0024,0.0188,0.0213
GPT-5-mini,v1,seed48,,ALS-FTD,46275,45772,0.0058,0.0458,0.0516
GPT-5-mini,v1,seed48,,LBD,22780,22222,0.0028,0.0222,0.0251
GPT-5-mini,v1,seed48,,all-diseases,88291,86844,0.011,0.0868,0.0979
GPT-5-mini,v1,seed49,,AD,19236,18663,0.0024,0.0187,0.0211
GPT-5-mini,v1,seed49,,ALS-FTD,46275,43960,0.0058,0.044,0.0497
GPT-5-mini,v1,seed49,,LBD,22780,21249,0.0028,0.0212,0.0241
GPT-5-mini,v1,seed49,,all-diseases,88291,83872,0.011,0.0839,0.0949
GPT-5-mini,v1,seed50,,AD,19236,18578,0.0024,0.0186,0.021
GPT-5-mini,v1,seed50,,ALS-FTD,46275,46886,0.0058,0.0469,0.0527
GPT-5-mini,v1,seed50,,LBD,22780,21982,0.0028,0.022,0.0248
GPT-5-mini,v1,seed50,,all-diseases,88291,87446,0.011,0.0874,0.0985
GPT-5-mini,v1,seed51,,AD,19236,17724,0.0024,0.0177,0.0201
GPT-5-mini,v1,seed51,,ALS-FTD,46275,45045,0.0058,0.045,0.0508
GPT-5-mini,v1,seed51,,LBD,22780,22022,0.0028,0.022,0.0249
GPT-5-mini,v1,seed51,,all-diseases,88291,84791,0.011,0.0848,0.0958
GPT-5-mini,v1,,,AD,19236,18655,0.0024,0.0187,0.0211
GPT-5-mini,v1,,,ALS-FTD,46275,44455,0.0058,0.0445,0.0502
GPT-5-mini,v1,,,LBD,22780,22378,0.0028,0.0224,0.0252
GPT-5-mini,v1,,,all-diseases,88291,85488,0.011,0.0855,0.0965
o4-mini,v1,seed43,,AD,19236,13491,0.0106,0.0297,0.0403
o4-mini,v1,seed43,,ALS-FTD,46275,35936,0.0255,0.0791,0.1045
o4-mini,v1,seed43,,LBD,22780,13930,0.0125,0.0306,0.0432
o4-mini,v1,seed43,,all-diseases,88291,63357,0.0486,0.1394,0.1879
o4-mini,v1,seed44,,AD,19236,14499,0.0106,0.0319,0.0425
o4-mini,v1,seed44,,ALS-FTD,46275,34408,0.0255,0.0757,0.1011
o4-mini,v1,seed44,,LBD,22780,16169,0.0125,0.0356,0.0481
o4-mini,v1,seed44,,all-diseases,88291,65076,0.0486,0.1432,0.1917
